商品编号,价格
100021044009,1399.00
100033060796,3009.00
100032149194,3399.00
10055406984027,3548.00
100041545018,4199.00
100041351108,4299.00
13836773522,2098.00
100024424036,1699.00
100051520281,3599.00
100041351132,4399.00
100016960357,4099.00
23388780571,1650.00
10066784094740,3747.00
100054647839,4399.00
100039568404,3999.00
100041351162,3599.00
100009554947,7199.00
100047694264,8999.00
100011483893,3499.00
100046992874,6999.00
100055147461,9999.00
100018005951,3399.00
100042655890,6488.00
100009464799,7999.00
100052883927,5499.00
100052856635,5299.00
100039098622,4999.00
100055147457,7999.00
100016751652,7199.00
100039924870,4799.00
100043588742,4299.00
10055406984028,3748.00
100057677955,3799.00
100039662739,5999.00
100042659892,6499.00
100055335683,4899.00
100056919919,8999.00
100020480561,3799.00
100023239577,7098.00
100042716514,2999.00
100053492945,5894.00
10074130097711,4199.00
100042671778,3699.00
100039356514,4599.00
100054131015,4399.00
100048910082,5688.00
100035852182,3899.00
100052658283,7499.00
10067844697458,4708.00
100037430693,5898.00
100011526087,3246.00
100023681778,3099.00
100043674220,11999.00
100012779151,3699.90
100044025811,6799.00
100050134190,8299.00
49816652076,1198.00
100046501068,7999.00
100026923531,12999.00
100021207879,2299.00
100021207889,4799.00
10040015868240,5678.00
100032747642,10469.00
10048903197641,3499.00
100044672748,4309.00
100026507017,2899.00
10052098062890,6699.00
100038834853,13999.00
10050273895051,2949.00
10056872646587,4168.00
100047431470,4099.00
10052098062889,5599.00
100015189229,2598.00
100056456197,5499.00
100043941956,1399.00
100032989979,1997.00
100056969359,10999.90
100039994558,4499.00
100042984703,3699.00
100049731744,9999.00
100020078921,4999.00
100014352499,2599.00
10052541381997,4499.00
10062839505359,21798.00
100050364273,6499.00
100042886045,4699.00
100036944034,5769.90
10035356528263,1799.00
100052833279,5999.00
100041048620,3999.00
100044935856,4699.00
100046992872,8699.00
100050343492,7988.00
100043600646,4499.00
100045860118,9999.00
100032768490,6799.90
100052940693,11999.00
10045483908997,698.00
100045860138,11999.00
100029902365,3499.90
100037430681,4648.00
100050428212,7288.00
100053016153,6499.00
100038378274,3299.00
100038594672,4209.00
10026537545377,6339.00
100052883897,5999.00
1085794603,3045.00
100043567920,4499.00
100047694278,7799.00
100048958502,6499.00
100018615489,4209.00
100039804874,5499.00
100043250324,9499.00
100046800134,6399.00
100052218361,5799.00
100042393244,6199.00
100041544990,5999.00
100042646404,15999.00
100039356470,5199.00
100052856633,6999.00
100023207945,4479.00
100038834859,2999.90
10046040789173,5199.00
100039675557,9999.00
100031259038,3899.00
10068078849157,1198.00
100016616050,7999.00
100056456219,4999.00
100029902359,6299.00
100018615503,3309.00
100042907980,5999.00
10054631882148,2188.00
100051520307,4998.00
70942309299,6199.00
100041544994,3599.00
100040908546,6798.00
10055862431777,7399.00
100042984681,3699.00
100042716530,3499.00
100043547866,5999.00
100042898422,13988.00
100026923519,12999.00
100033038878,14499.00
100009554935,7199.00
10062578694455,13999.00
100052028185,7698.00
10058903475710,5879.00
100043033739,9199.00
100041048682,4299.00
70467963298,449.00
100049239810,4999.00
100030585508,4399.00
100056642531,5999.00
100055335681,4599.00
100045047599,12799.00
10046437042629,960.00
100035189557,3909.00
100042738032,7499.00
100052891541,6099.00
100014762213,4399.00
10067991622097,3399.00
100018778303,4499.00
10043168935534,4699.00
100029368775,12499.00
100056642533,5999.00
100041770062,2398.00
100012169605,9499.00
100033884237,5729.00
10063407520653,20999.00
100055147459,11999.00
100022815237,5199.00
100033895888,2399.00
100050134202,7999.00
100048377766,4899.00
100047896892,13999.00
100021250873,3499.90
100023130207,8999.00
100048005347,4299.00
100042659840,5499.00
100042305984,6699.00
100040908544,8198.00
100046393522,7999.00
100022003014,3988.00
100021404087,4998.00
100051084373,9469.00
100052658285,6999.00
7340883,2499.00
10074017033811,8299.00
100047275674,6999.00
100053605135,6209.00
100043788298,7988.00
100043600628,5599.00
100044169390,3899.00
100047275686,5899.00
100050087532,3699.00
100042659894,4999.00
32168439541,7599.00
100046992878,4988.00
100023240357,3999.00
100039356494,6499.00
10293516337,1398.00
10034525548992,6299.00
10034525548998,6299.00
100043674282,14999.00
100040890758,9999.00
100045237138,3799.90
100056259279,4298.00
10038878350202,10999.00
100055018087,7799.00
100055733975,4998.00
100043674218,7488.00
100043620624,6199.00
10068642562169,7299.00
100057100069,3998.00
100023428401,4599.00
100037913844,4399.00
100055438851,12999.00
10071433435040,10188.00
10067983447700,14699.00
100046657920,3999.00
11930425329,398.00
100043033735,29998.00
10059463239066,5699.00
100054389261,3799.00
100049239768,4099.90
100020082096,1999.00
10033087405727,998.00
100044503436,6298.00
100039675559,5899.00
100023222651,5999.00
100055018073,5999.00
100012169607,9499.00
100039993758,5999.00
10055862431771,7499.00
100049051338,5999.00
100039356516,5799.00
10067606202017,8799.00
100044491468,5399.00
100041448142,8199.00
100045221092,14988.00
100055335671,6199.00
100032674733,4599.00
100052940691,13999.00
10069108384364,5899.00
100026667924,3799.00
100056352853,5099.00
100049407771,3498.00
10054289538800,2948.00
10022431622845,798.00
100043674232,6988.00
100048918184,3699.90
10026830448851,8299.00
100055335673,5299.00
100032226552,3699.00
10070290313748,4588.00
100052940701,14499.00
100043674230,7988.00
100054386271,3599.00
10049780642717,5898.00
10042176355482,1598.00
10026419575695,1349.00
100027743464,2438.00
100043250314,8299.00
100039675541,8699.00
100009552055,9499.00
13836773521,1699.00
100044025883,3599.00
10072829938827,6799.00
100030585506,4099.00
10068792902502,7299.00
100037278295,6098.00
100039853522,4999.00
100052258633,3999.00
23388780572,2380.00
100052272599,14799.00
100033038906,14499.00
100039924888,4499.00
100042766036,2398.00
100023889747,6999.00
10061436239269,4078.00
100053968763,15499.00
100046800130,8099.00
10045483909002,2599.00
10064221830677,4999.00
100034710060,4399.00
100044381563,4608.00
100023113125,4299.00
100026923529,11499.00
